Datetime,Temperature,Humidity,WindSpeed
1/1/2017 16:40,15.48,57.73,0.075
1/1/2017 16:50,15.47,58.23,0.077
1/1/2017 17:00,15.44,59.07,0.076
1/1/2017 17:10,15.35,59.3,0.077
1/1/2017 17:20,15.34,59,0.079
1/1/2017 17:30,15.11,59.53,0.076
1/1/2017 17:40,14.93,60.83,0.077
1/1/2017 17:50,14.71,61.87,0.086
1/1/2017 18:00,14.48,63.27,0.08
1/1/2017 18:10,14.29,63.94,0.078
1/1/2017 18:20,14.09,64.87,0.078
1/1/2017 18:30,13.89,66.11,0.076
1/1/2017 18:40,13.79,66.74,0.076
1/1/2017 18:50,13.54,66.71,0.076
1/1/2017 19:00,12.51,68.35,0.077
1/1/2017 19:10,12.06,70.2,0.078
1/1/2017 19:20,11.75,70.7,0.079
1/1/2017 19:30,11.61,70.7,0.077
1/1/2017 19:40,11.5,70.6,0.078
1/1/2017 19:50,11.43,70.7,0.076
1/1/2017 20:00,11.42,71.2,0.076
1/1/2017 20:10,11.69,71.1,0.078
1/1/2017 20:20,12.05,69.82,0.077
1/1/2017 20:30,11.87,69.98,0.076
1/1/2017 20:40,11.61,71.2,0.078
1/1/2017 20:50,11.5,72,0.078
1/1/2017 21:00,11.43,72,0.075
1/1/2017 21:10,11.29,72.2,0.075
1/1/2017 21:20,11.49,73.1,0.077
1/1/2017 21:30,12.24,70.1,0.077
1/1/2017 21:40,11.84,68.78,0.074
1/1/2017 21:50,12.2,68.78,0.074
1/1/2017 22:00,13.1,65.44,0.074
1/1/2017 22:10,13.2,63.84,0.074
1/1/2017 22:20,13.18,63.97,0.075
1/1/2017 22:30,12.64,66.77,0.072
1/1/2017 22:40,12.39,68.04,0.074
1/1/2017 22:50,12.24,69.18,0.077
1/1/2017 23:00,12.11,69.94,0.074
1/1/2017 23:10,12.07,70.7,0.076
1/1/2017 23:20,11.99,70.8,0.075
1/1/2017 23:30,11.32,74.7,0.075
1/1/2017 23:40,11.37,74.8,0.074
1/1/2017 23:50,11.41,74.1,0.076
1/2/2017 0:00,11.01,75.8,0.076
1/2/2017 0:10,10.74,77.3,0.078
1/2/2017 0:20,10.47,78.2,0.078
1/2/2017 0:30,10.31,79.2,0.076
1/2/2017 0:40,10.63,79.3,0.079
1/2/2017 0:50,10.84,78.4,0.073
1/2/2017 1:00,10.94,78.1,0.074
1/2/2017 1:10,11.12,77.9,0.073
1/2/2017 1:20,11.02,77.5,0.081
1/2/2017 1:30,10.5,78.9,0.076
1/2/2017 1:40,10.22,79.8,0.078
1/2/2017 1:50,10.42,81.3,0.075
1/2/2017 2:00,10.86,80,0.076
1/2/2017 2:10,11.17,77.3,0.077
1/2/2017 2:20,11.1,75.6,0.077
1/2/2017 2:30,11.14,75,0.081
1/2/2017 2:40,11.21,75.2,0.077
1/2/2017 2:50,10.71,77.4,0.079
1/2/2017 3:00,10.7,77.7,0.079
1/2/2017 3:10,10.58,78.6,0.075
1/2/2017 3:20,10.59,79.5,0.078
1/2/2017 3:30,10.68,79.4,0.079
1/2/2017 3:40,10.52,79.8,0.076
1/2/2017 3:50,10.34,80.6,0.078
1/2/2017 4:00,10.18,81.7,0.079
1/2/2017 4:10,10.41,82.3,0.074
1/2/2017 4:20,10.41,81.4,0.078
1/2/2017 4:30,10.39,81.5,0.074
1/2/2017 4:40,10.16,81.9,0.075
1/2/2017 4:50,9.97,82.8,0.077
1/2/2017 5:00,10.03,83.8,0.08
1/2/2017 5:10,9.98,83,0.078
1/2/2017 5:20,9.74,82.8,0.081
1/2/2017 5:30,9.54,83.7,0.078
1/2/2017 5:40,9.53,83.9,0.072
1/2/2017 5:50,9.56,84.1,0.073
1/2/2017 6:00,9.58,84.5,0.075
1/2/2017 6:10,9.44,84.1,0.075
1/2/2017 6:20,9.4,84.4,0.077
1/2/2017 6:30,9.38,84.6,0.076
1/2/2017 6:40,9.16,84.7,0.077
1/2/2017 6:50,9.06,85.6,0.076
1/2/2017 7:00,9.17,85.8,0.078
1/2/2017 7:10,9.46,86.2,0.076
1/2/2017 7:20,9.74,85.4,0.072
1/2/2017 7:30,9.8,84.4,0.077
1/2/2017 7:40,9.58,83.9,0.079
1/2/2017 7:50,9.51,83.7,0.082
1/2/2017 8:00,9.44,83.2,0.084
1/2/2017 8:10,9.18,82.5,0.083
1/2/2017 8:20,8.96,83.4,0.083
1/2/2017 8:30,8.71,83.9,0.081
1/2/2017 8:40,8.52,85.1,0.081
1/2/2017 8:50,8.43,85.4,0.079
1/2/2017 9:00,8.44,85.9,0.08
1/2/2017 9:10,8.69,86.7,0.079
1/2/2017 9:20,9.02,86.7,0.082
1/2/2017 9:30,9.17,86.9,0.079
1/2/2017 9:40,10.48,87,0.079
1/2/2017 9:50,11.13,83.5,0.08
1/2/2017 10:00,11.68,81.7,0.08
1/2/2017 10:10,12.22,78,0.075
1/2/2017 10:20,12.61,74.8,0.076
1/2/2017 10:30,13.07,72.7,0.075
1/2/2017 10:40,13.61,70.2,0.077
1/2/2017 10:50,14,69.22,0.077
1/2/2017 11:00,14.55,64.11,0.077
1/2/2017 11:10,14.94,58.46,0.077
1/2/2017 11:20,15.08,57.23,0.076
1/2/2017 11:30,15.18,55.83,0.076
1/2/2017 11:40,15.28,56.49,0.075
1/2/2017 11:50,15.27,55.93,0.076
1/2/2017 12:00,15.21,55.69,0.077
1/2/2017 12:10,15.18,57.2,0.078
1/2/2017 12:20,15.11,57.86,0.074
1/2/2017 12:30,15.1,58.33,0.076
1/2/2017 12:40,15.26,58.8,0.076
1/2/2017 12:50,15.15,60.87,0.075
1/2/2017 13:00,15.23,60.53,0.076
1/2/2017 13:10,15.22,60.2,0.077
1/2/2017 13:20,15.22,59.83,0.076
1/2/2017 13:30,15.33,59.16,0.076
1/2/2017 13:40,15.41,58.13,0.076
1/2/2017 13:50,15.43,58,0.077
1/2/2017 14:00,15.56,56.03,0.075
1/2/2017 14:10,15.59,55.73,0.075
1/2/2017 14:20,15.47,56.29,0.077
1/2/2017 14:30,15.55,55.99,0.074
1/2/2017 14:40,15.57,56.53,0.076
1/2/2017 14:50,15.64,55.35,0.077
1/2/2017 15:00,15.59,55.76,0.077
1/2/2017 15:10,15.58,57.03,0.077
1/2/2017 15:20,15.49,57.19,0.075
1/2/2017 15:30,15.45,57.86,0.075
1/2/2017 15:40,15.36,57.72,0.075
1/2/2017 15:50,15.38,58.02,0.074
1/2/2017 16:00,15.37,58.59,0.077
1/2/2017 16:10,15.23,59.76,0.077
1/2/2017 16:20,15.23,61.12,0.075
1/2/2017 16:30,15.24,61.63,0.075
1/2/2017 16:40,15.19,61.72,0.075
1/2/2017 16:50,15.17,61.76,0.077
1/2/2017 17:00,15.22,59.95,0.076
1/2/2017 17:10,15.17,61.92,0.076
1/2/2017 17:20,15.02,62.32,0.076
1/2/2017 17:30,14.9,61.82,0.079
1/2/2017 17:40,14.81,61.79,0.078
1/2/2017 17:50,14.68,62.05,0.079
1/2/2017 18:00,14.54,64.02,0.074
1/2/2017 18:10,14.38,64.55,0.077
1/2/2017 18:20,14.23,65.55,0.076
1/2/2017 18:30,14.11,65.79,0.081
1/2/2017 18:40,14.03,66.72,0.074
1/2/2017 18:50,13.95,67.52,0.074
1/2/2017 19:00,13.87,68.59,0.075
1/2/2017 19:10,13.74,69.46,0.074
1/2/2017 19:20,13.55,69.9,0.076
1/2/2017 19:30,13.43,69.86,0.076
1/2/2017 19:40,13.35,69.86,0.076
1/2/2017 19:50,13.2,70.5,0.076
1/2/2017 20:00,13.42,68.89,0.073
1/2/2017 20:10,13.55,68.12,0.077
1/2/2017 20:20,13.42,68.52,0.075
1/2/2017 20:30,13.3,69.03,0.075
1/2/2017 20:40,13.33,68.72,0.076
1/2/2017 20:50,13.45,68.59,0.075
1/2/2017 21:00,13.47,66.99,0.074
1/2/2017 21:10,13.29,66.99,0.075
1/2/2017 21:20,13.15,66.42,0.078
1/2/2017 21:30,13.03,66.62,0.074
1/2/2017 21:40,12.93,67.29,0.076
1/2/2017 21:50,12.88,67.46,0.075
1/2/2017 22:00,12.86,67.76,0.074
1/2/2017 22:10,12.87,67.96,0.075
1/2/2017 22:20,12.92,68.52,0.074
1/2/2017 22:30,12.96,68.62,0.075
1/2/2017 22:40,12.88,69.33,0.075
1/2/2017 22:50,12.77,69.86,0.075
1/2/2017 23:00,12.82,70.1,0.075
1/2/2017 23:10,12.75,70.4,0.071
1/2/2017 23:20,12.54,71.5,0.077
1/2/2017 23:30,12.23,72.9,0.077
1/2/2017 23:40,12.19,72.8,0.077
1/2/2017 23:50,12.31,72.6,0.072
1/3/2017 0:00,12.08,74,0.076
1/3/2017 0:10,12.16,74,0.072
1/3/2017 0:20,12.07,74.1,0.074
1/3/2017 0:30,11.48,76.8,0.077
1/3/2017 0:40,11.45,77.7,0.074
1/3/2017 0:50,11.8,76.6,0.076
1/3/2017 1:00,12.23,75.1,0.074
1/3/2017 1:10,12.39,71,0.078
1/3/2017 1:20,12.42,71.4,0.077
1/3/2017 1:30,12.4,71.5,0.075
1/3/2017 1:40,11.84,73.4,0.079
1/3/2017 1:50,11.51,73,0.076
1/3/2017 2:00,11.35,73.6,0.081
1/3/2017 2:10,11.27,73.8,0.077
1/3/2017 2:20,11.33,74.5,0.073
1/3/2017 2:30,11.44,75,0.078
1/3/2017 2:40,12.26,75.5,0.076
1/3/2017 2:50,13.08,70.9,0.076
1/3/2017 3:00,12.78,71.8,0.078
1/3/2017 3:10,12.34,73.2,0.076
1/3/2017 3:20,12.2,73.8,0.072
1/3/2017 3:30,12.04,74.7,0.077
1/3/2017 3:40,11.96,74.9,0.077
1/3/2017 3:50,11.92,75.2,0.077
1/3/2017 4:00,11.85,75.1,0.083
1/3/2017 4:10,11.66,75.5,0.084
1/3/2017 4:20,11.55,76.1,0.077
1/3/2017 4:30,11.6,75.1,0.081
1/3/2017 4:40,11.17,77.8,0.076
1/3/2017 4:50,10.83,78.5,0.076
1/3/2017 5:00,10.74,78.6,0.077
1/3/2017 5:10,10.57,80.3,0.081
1/3/2017 5:20,10.49,80.3,0.08
1/3/2017 5:30,10.69,81.6,0.078
1/3/2017 5:40,11.22,80,0.076
1/3/2017 5:50,11.36,77.9,0.077
1/3/2017 6:00,11.44,77.5,0.079
1/3/2017 6:10,11.49,76.7,0.073
1/3/2017 6:20,11.33,76.8,0.075
1/3/2017 6:30,11.16,77.3,0.082
1/3/2017 6:40,10.89,77.5,0.082
1/3/2017 6:50,10.27,80.2,0.078
1/3/2017 7:00,10.15,80.8,0.08
1/3/2017 7:10,10,81.6,0.077
1/3/2017 7:20,9.9,81.5,0.076
1/3/2017 7:30,9.67,81.6,0.08
1/3/2017 7:40,9.27,81.5,0.08
1/3/2017 7:50,9.03,81.8,0.079
1/3/2017 8:00,8.85,82.7,0.082
1/3/2017 8:10,8.68,83.1,0.083
1/3/2017 8:20,8.54,83.7,0.078
1/3/2017 8:30,8.38,84.9,0.081
1/3/2017 8:40,8.5,84.9,0.079
1/3/2017 8:50,8.48,85.7,0.082
1/3/2017 9:00,8.4,85.3,0.082
1/3/2017 9:10,8.51,85.5,0.083
1/3/2017 9:20,8.8,85,0.084
1/3/2017 9:30,9.09,84.1,0.081
1/3/2017 9:40,9.62,84.5,0.082
1/3/2017 9:50,10.89,85.9,0.085
1/3/2017 10:00,12.43,83.3,0.079
1/3/2017 10:10,13.02,77.5,0.084
1/3/2017 10:20,13.38,74.4,0.078
1/3/2017 10:30,13.64,73.2,0.079
1/3/2017 10:40,13.88,72.2,0.084
1/3/2017 10:50,14.16,72.3,0.081
1/3/2017 11:00,14.54,69.24,0.084
1/3/2017 11:10,14.75,67.1,0.078
1/3/2017 11:20,14.87,66.57,0.08
1/3/2017 11:30,15,65.1,0.083
1/3/2017 11:40,15.08,64.4,0.079
1/3/2017 11:50,15.18,64.23,0.077
1/3/2017 12:00,15.28,64.43,0.074
1/3/2017 12:10,15.19,63.6,0.074
1/3/2017 12:20,15.18,64.77,0.075
1/3/2017 12:30,15.21,65.33,0.076
1/3/2017 12:40,15.31,64.2,0.074
1/3/2017 12:50,15.35,63.13,0.073
1/3/2017 13:00,15.43,62.93,0.073
1/3/2017 13:10,15.39,62.9,0.074
1/3/2017 13:20,15.41,62.83,0.074
1/3/2017 13:30,15.57,62.7,0.077
1/3/2017 13:40,15.37,63.4,0.076
1/3/2017 13:50,15.49,63.46,0.075
1/3/2017 14:00,15.57,63.7,0.073
1/3/2017 14:10,15.48,63.76,0.075
1/3/2017 14:20,15.36,64.16,0.073
1/3/2017 14:30,15.35,64.19,0.074
1/3/2017 14:40,15.41,64.1,0.074
1/3/2017 14:50,15.36,65.23,0.075
1/3/2017 15:00,15.44,64.86,0.075
1/3/2017 15:10,15.48,64.1,0.075
1/3/2017 15:20,15.45,64.86,0.076
1/3/2017 15:30,15.44,64.93,0.074
1/3/2017 15:40,15.34,65.3,0.075
1/3/2017 15:50,15.3,65.83,0.075
1/3/2017 16:00,15.34,66.4,0.075
1/3/2017 16:10,15.34,66.83,0.071
1/3/2017 16:20,15.23,67.66,0.076
1/3/2017 16:30,15.18,67.73,0.075
1/3/2017 16:40,15.09,67.66,0.076
1/3/2017 16:50,14.96,66.19,0.077
1/3/2017 17:00,14.94,64.99,0.075
1/3/2017 17:10,14.89,65.45,0.073
1/3/2017 17:20,14.85,65.55,0.077
1/3/2017 17:30,14.78,65.82,0.075
1/3/2017 17:40,14.68,67.22,0.073
1/3/2017 17:50,14.51,68.26,0.077
1/3/2017 18:00,14.32,69.56,0.075
1/3/2017 18:10,14.14,70.9,0.076
1/3/2017 18:20,13.98,72.1,0.076
1/3/2017 18:30,13.86,73,0.074
1/3/2017 18:40,13.45,73.7,0.075
1/3/2017 18:50,12.2,77.3,0.076
1/3/2017 19:00,11.85,78.2,0.074
1/3/2017 19:10,11.53,79,0.078
1/3/2017 19:20,11.25,80,0.075
1/3/2017 19:30,11.12,80.5,0.074
1/3/2017 19:40,10.92,81.2,0.076
1/3/2017 19:50,10.93,81.3,0.079
1/3/2017 20:00,10.69,81.5,0.077
1/3/2017 20:10,10.39,81.5,0.078
1/3/2017 20:20,10.17,83.1,0.074
1/3/2017 20:30,10.03,82.9,0.075
1/3/2017 20:40,9.61,83.9,0.076
1/3/2017 20:50,9.71,84.2,0.075
1/3/2017 21:00,9.62,83.4,0.074
1/3/2017 21:10,9.49,83.5,0.073
1/3/2017 21:20,9.33,83.7,0.076
1/3/2017 21:30,9.23,83.9,0.074
1/3/2017 21:40,9.14,84,0.073
1/3/2017 21:50,9.11,83.8,0.073
1/3/2017 22:00,9.07,83.8,0.073
1/3/2017 22:10,9,83.9,0.072
1/3/2017 22:20,9.05,84,0.072
1/3/2017 22:30,8.98,83.6,0.073
1/3/2017 22:40,8.81,83.9,0.075
1/3/2017 22:50,8.72,84,0.076
1/3/2017 23:00,8.51,84.3,0.075
1/3/2017 23:10,8.52,85,0.075
1/3/2017 23:20,8.6,84.4,0.074
1/3/2017 23:30,8.49,84.5,0.077
1/3/2017 23:40,8.33,84.7,0.076
1/3/2017 23:50,8.5,84.7,0.073
1/4/2017 0:00,8.52,83.7,0.077
1/4/2017 0:10,8.63,83.5,0.073
1/4/2017 0:20,8.69,82.8,0.076
1/4/2017 0:30,8.77,82.3,0.075
1/4/2017 0:40,8.36,82,0.078
1/4/2017 0:50,8.17,82.7,0.075
1/4/2017 1:00,8.13,82.4,0.074
1/4/2017 1:10,8.14,82.3,0.074
1/4/2017 1:20,8.15,82.2,0.076
1/4/2017 1:30,8.33,82.2,0.075
1/4/2017 1:40,8.36,81.4,0.076
1/4/2017 1:50,8.23,80.7,0.076
1/4/2017 2:00,8.13,81.2,0.075
1/4/2017 2:10,8.04,81.2,0.075
1/4/2017 2:20,7.87,81.8,0.074
1/4/2017 2:30,7.91,81.8,0.078
1/4/2017 2:40,7.9,81.8,0.077
1/4/2017 2:50,7.88,81.6,0.077
1/4/2017 3:00,7.89,81.2,0.074
1/4/2017 3:10,7.94,81.2,0.074
1/4/2017 3:20,7.84,80.5,0.073
1/4/2017 3:30,7.59,80.4,0.076
1/4/2017 3:40,7.44,81.1,0.076
1/4/2017 3:50,7.59,81,0.082
1/4/2017 4:00,7.46,81.3,0.091
1/4/2017 4:10,6.991,82.5,0.086
1/4/2017 4:20,6.683,83.5,0.086
1/4/2017 4:30,6.447,84.1,0.087
1/4/2017 4:40,6.091,84.9,0.083
1/4/2017 4:50,5.88,85.9,0.083
1/4/2017 5:00,6.003,86.3,0.085
1/4/2017 5:10,5.904,86.7,0.085
1/4/2017 5:20,6.042,86.7,0.087
1/4/2017 5:30,5.976,86.8,0.085
1/4/2017 5:40,5.965,86.9,0.084
1/4/2017 5:50,6.025,87.1,0.085
1/4/2017 6:00,5.946,86.9,0.084
1/4/2017 6:10,5.795,86.9,0.086
1/4/2017 6:20,5.488,87.1,0.087
1/4/2017 6:30,5.352,87.1,0.083
1/4/2017 6:40,5.076,87.7,0.082
1/4/2017 6:50,5.291,88.3,0.09
1/4/2017 7:00,5.364,87.7,0.087
1/4/2017 7:10,5.393,87.8,0.087
1/4/2017 7:20,5.524,87.7,0.088
1/4/2017 7:30,5.576,87.4,0.091
1/4/2017 7:40,5.421,86.9,0.09
1/4/2017 7:50,5.336,86.7,0.089
1/4/2017 8:00,5.139,86.9,0.085
1/4/2017 8:10,5.01,87.2,0.09
1/4/2017 8:20,5.099,87.4,0.084
1/4/2017 8:30,4.917,87.5,0.09
1/4/2017 8:40,4.779,87.7,0.086
1/4/2017 8:50,4.873,87.8,0.089
1/4/2017 9:00,4.872,87.2,0.088
1/4/2017 9:10,5.009,86.9,0.084
1/4/2017 9:20,5.065,86.6,0.088
1/4/2017 9:30,5.218,86.3,0.089
1/4/2017 9:40,5.54,85.9,0.088
1/4/2017 9:50,5.738,84.7,0.089
1/4/2017 10:00,6,84.1,0.091
1/4/2017 10:10,6.271,83,0.09
1/4/2017 10:20,6.593,81.6,0.09
1/4/2017 10:30,6.933,81.2,0.09
1/4/2017 10:40,7.22,81.2,0.091
1/4/2017 10:50,7.54,81,0.091
1/4/2017 11:00,8.01,79.8,0.088
1/4/2017 11:10,8.57,79,0.088
1/4/2017 11:20,9.04,78.5,0.09
1/4/2017 11:30,9.6,77.3,0.09
1/4/2017 11:40,10.14,75.6,0.094
1/4/2017 11:50,10.8,73.5,0.089
1/4/2017 12:00,11.47,70.1,0.085
1/4/2017 12:10,12,67.75,0.086
1/4/2017 12:20,12.6,66.24,0.088
1/4/2017 12:30,13.19,65.44,0.086
1/4/2017 12:40,13.66,65.01,0.087
1/4/2017 12:50,13.92,63.81,0.086
1/4/2017 13:00,14.41,63.77,0.084
1/4/2017 13:10,14.86,61.6,0.087
1/4/2017 13:20,15.34,60.2,0.085
1/4/2017 13:30,16.13,58.43,0.085
1/4/2017 13:40,16.38,55.89,0.084
1/4/2017 13:50,17.05,55.46,0.087
1/4/2017 14:00,17.65,53.72,0.084
1/4/2017 14:10,17.55,50.78,0.082
1/4/2017 14:20,17.43,50.65,0.076
1/4/2017 14:30,17.4,53.26,0.077
1/4/2017 14:40,17.42,53.72,0.077
1/4/2017 14:50,17.49,56.59,0.077
1/4/2017 15:00,17.33,57.36,0.075
1/4/2017 15:10,17.23,59.17,0.075
1/4/2017 15:20,17.4,59.07,0.077
1/4/2017 15:30,17.38,59.6,0.077
1/4/2017 15:40,17.24,60.4,0.073
1/4/2017 15:50,17.07,61.2,0.073
1/4/2017 16:00,17.09,61.8,0.074
1/4/2017 16:10,17.3,61.47,0.075
1/4/2017 16:20,17.26,61.17,0.075
1/4/2017 16:30,17.36,61.04,0.077
1/4/2017 16:40,17.6,60.67,0.081
1/4/2017 16:50,17.57,59.83,0.077
1/4/2017 17:00,17.57,60.33,0.076
1/4/2017 17:10,17.24,61.83,0.074
1/4/2017 17:20,16.89,63.5,0.075
1/4/2017 17:30,16.35,66.23,0.073
1/4/2017 17:40,15.84,67.87,0.074
1/4/2017 17:50,15.44,69.54,0.073
1/4/2017 18:00,14.98,71.1,0.077
1/4/2017 18:10,14.57,72.3,0.079
1/4/2017 18:20,14.13,73.2,0.081
1/4/2017 18:30,13.22,75.6,0.083
1/4/2017 18:40,12.87,76.7,0.073
1/4/2017 18:50,12.43,77.4,0.073
1/4/2017 19:00,12.21,77.6,0.069
1/4/2017 19:10,12.06,78.1,0.075
1/4/2017 19:20,12.26,79.8,0.087
1/4/2017 19:30,13.39,79.2,0.086
1/4/2017 19:40,13.83,71.8,0.088
1/4/2017 19:50,13.83,67.63,0.09
1/4/2017 20:00,13.8,66.7,0.086
1/4/2017 20:10,13.72,66.66,0.088
1/4/2017 20:20,13.55,67.73,0.089
1/4/2017 20:30,13.44,68.2,0.083
1/4/2017 20:40,13.32,68.83,0.087
1/4/2017 20:50,13.1,69.16,0.084
1/4/2017 21:00,12.82,69.5,0.086
1/4/2017 21:10,12.49,70.5,0.081
1/4/2017 21:20,12.28,70.8,0.083
1/4/2017 21:30,12.09,71.3,0.083
1/4/2017 21:40,11.9,71.1,0.088
1/4/2017 21:50,11.36,72.2,0.083
1/4/2017 22:00,10.96,73.9,0.084
1/4/2017 22:10,10.58,75.5,0.086
1/4/2017 22:20,10.44,76.3,0.082
1/4/2017 22:30,10.59,76.3,0.08
1/4/2017 22:40,10.66,75.7,0.087
1/4/2017 22:50,10.57,75.9,0.085
1/4/2017 23:00,10.4,76.1,0.085
1/4/2017 23:10,10.27,75.9,0.085
1/4/2017 23:20,9.89,77.6,0.083
1/4/2017 23:30,9.64,77.9,0.083
1/4/2017 23:40,9.64,77.7,0.084
1/4/2017 23:50,9.46,78,0.086
1/5/2017 0:00,9,79.7,0.085
1/5/2017 0:10,8.81,80.4,0.089
1/5/2017 0:20,9.04,80.1,0.087
1/5/2017 0:30,9.21,78.5,0.084
1/5/2017 0:40,9.03,77.4,0.086
1/5/2017 0:50,8.9,77.8,0.083
1/5/2017 1:00,8.39,80.1,0.084
1/5/2017 1:10,8.45,80.1,0.085
1/5/2017 1:20,8.54,78.6,0.085
1/5/2017 1:30,8.26,79.9,0.087
1/5/2017 1:40,8.04,80.4,0.087
1/5/2017 1:50,7.85,81.7,0.086
1/5/2017 2:00,7.78,81.5,0.087
1/5/2017 2:10,7.76,80.9,0.083
1/5/2017 2:20,7.72,81.3,0.088
1/5/2017 2:30,7.9,80.9,0.087
1/5/2017 2:40,7.87,80,0.081
1/5/2017 2:50,7.73,80.4,0.086
1/5/2017 3:00,7.53,81.3,0.084
1/5/2017 3:10,7.52,81,0.084
1/5/2017 3:20,7.53,80.7,0.082
1/5/2017 3:30,7.68,79.2,0.081
1/5/2017 3:40,7.57,78.1,0.083
1/5/2017 3:50,7.44,77,0.083
1/5/2017 4:00,7.27,77.4,0.08
1/5/2017 4:10,7.16,78.4,0.087
1/5/2017 4:20,6.985,79.5,0.087
1/5/2017 4:30,6.902,79.6,0.088
1/5/2017 4:40,6.898,79.4,0.085
1/5/2017 4:50,6.982,77.8,0.086
1/5/2017 5:00,6.998,77.3,0.083
1/5/2017 5:10,7.31,76.7,0.083
1/5/2017 5:20,7.36,75.1,0.086
1/5/2017 5:30,7.03,76,0.083
1/5/2017 5:40,6.8,78,0.085
